nb_params,step,log_Z,var_log_Z,density_calls,loss,lr,training_time
,715,,,,6.816963,0.001,
,716,,,,4.451427,0.001,
,717,,,,7.376239,0.001,
,718,,,,6.8508873,0.001,
,719,,,,5.78117,0.001,
,720,,,,6.293209,0.001,
,721,,,,4.82748,0.001,
,722,,,,9.487276,0.001,
,723,,,,5.8162475,0.001,
,724,,,,7.798853,0.001,
,725,,,,4.0307612,0.001,
,726,,,,5.9928274,0.001,
,727,,,,16.253145,0.001,
,728,,,,4.2291107,0.001,
,729,,,,7.5743103,0.001,
,730,,,,5.4887433,0.001,
,731,,,,5.6922746,0.001,
,732,,,,9.544613,0.001,
,733,,,,6.908301,0.001,
,734,,,,6.693731,0.001,
,735,,,,12.025071,0.001,
,736,,,,5.178056,0.001,
,737,,,,5.764707,0.001,
,738,,,,6.359983,0.001,
,739,,,,7.2042236,0.001,
,740,,,,5.7312837,0.001,
,741,,,,6.312046,0.001,
,742,,,,8.51755,0.001,
,743,,,,6.227122,0.001,
,744,,,,7.8631644,0.001,
,745,,,,9.147115,0.001,
,746,,,,8.529323,0.001,
,747,,,,5.4544134,0.001,
,748,,,,4.88054,0.001,
,749,,,,6.133331,0.001,
,750,,,,7.19003,0.001,
,751,,,,6.4000764,0.001,
,752,,,,5.909551,0.001,
,753,,,,9.658874,0.001,
,754,,,,6.161249,0.001,
,755,,,,7.387665,0.001,
,756,,,,5.17514,0.001,
,757,,,,5.4337225,0.001,
,758,,,,7.5525627,0.001,
,759,,,,5.3371673,0.001,
,760,,,,6.182531,0.001,
,761,,,,7.6616325,0.001,
,762,,,,9.394964,0.001,
,763,,,,6.0901628,0.001,
,764,,,,5.1454177,0.001,
,765,,,,8.94242,0.001,
,766,,,,5.341505,0.001,
,767,,,,11.977611,0.001,
,768,,,,8.0414915,0.001,
,769,,,,7.243393,0.001,
,770,,,,33.307964,0.001,
,771,,,,9.777242,0.001,
,772,,,,7.888014,0.001,
,773,,,,9.761205,0.001,
,774,,,,4.5559916,0.001,
,775,,,,5.623532,0.001,
,776,,,,6.268704,0.001,
,777,,,,6.888052,0.001,
,778,,,,5.4692397,0.001,
,779,,,,4.888121,0.001,
,780,,,,4.9890294,0.001,
,781,,,,5.7309475,0.001,
,782,,,,9.061016,0.001,
,783,,,,7.064345,0.001,
,784,,,,6.3777127,0.001,
,785,,,,5.74251,0.001,
,786,,,,4.8941326,0.001,
,787,,,,6.0500994,0.001,
,788,,,,5.8450813,0.001,
,789,,,,5.439353,0.001,
,790,,,,5.604009,0.001,
,791,,,,6.5467434,0.001,
,792,,,,5.925106,0.001,
,793,,,,5.602529,0.001,
,794,,,,5.9236526,0.001,
,795,,,,5.3812556,0.001,
,796,,,,7.5522323,0.001,
,797,,,,6.218677,0.001,
,798,,,,6.068966,0.001,
,799,,,,7.8100653,0.001,
,800,,,,4.460324,0.001,
,801,,,,5.092458,0.001,
,802,,,,7.4156203,0.001,
,803,,,,3.7738078,0.001,
,804,,,,13.074662,0.001,
,805,,,,5.7366967,0.001,
,806,,,,3.8317719,0.001,
,807,,,,4.4457617,0.001,
,808,,,,7.105002,0.001,
,809,,,,9.023525,0.001,
,810,,,,10.632973,0.001,
,811,,,,4.0627155,0.001,
,812,,,,5.561176,0.001,
,813,,,,8.11526,0.001,
,814,,,,5.3202477,0.001,
,815,,,,4.4204354,0.001,
,816,,,,13.651825,0.001,
,817,,,,6.182176,0.001,
,818,,,,5.7110777,0.001,
,819,,,,6.5231223,0.001,
,820,,,,5.744966,0.001,
,821,,,,5.1334696,0.001,
,822,,,,7.61881,0.001,
,823,,,,16.89026,0.001,
,824,,,,6.2798185,0.001,
,825,,,,19.986893,0.001,
,826,,,,7.9272366,0.001,
,827,,,,5.914791,0.001,
,828,,,,6.3417077,0.001,
,829,,,,6.2550726,0.001,
,830,,,,4.8589787,0.001,
,831,,,,11.351703,0.001,
,832,,,,26.129303,0.001,
,833,,,,7.728882,0.001,
,834,,,,7.350969,0.001,
,835,,,,6.9477053,0.001,
,836,,,,6.722118,0.001,
,837,,,,8.94383,0.001,
,838,,,,7.874743,0.001,
